Segment,Company,Ticker,Market Cap (Cr),Debt (Cr),Cash (Cr),EV (Cr),EBIT (Cr),EV/EBIT
FMCG Cigarettes,VST Industries Ltd,VSTIND.NS,4387.62,0.0,23.69,4363.93,348.74,12.51
FMCG Cigarettes,Godfrey Phillips India Ltd,GODFRYPHLP.BO,35251.88,177.49,14.25,35415.12,1483.36,23.87
FMCG Others,Hindustan Unilever Ltd,HINDUNILVR.NS,529597.88,1648.0,6071.0,525174.88,14810.0,35.46
FMCG Others,Dabur India Ltd,DABUR.NS,78565.61,950.08,184.17,79331.52,2404.78,32.99
FMCG Others,Marico Limited,MARICO.NS,100568.17,554.0,320.0,100802.17,2151.0,46.86
FMCG Others,Godrej Consumer Products,GODREJCP.NS,109476.94,4004.49,454.92,113026.51,2983.0,37.89
FMCG Others,Britannia Industries Ltd,BRITANNIA.NS,137993.44,1264.14,132.78,139124.8,3062.77,45.42
Agri Business,KRBL Limited,KRBL.NS,8385.38,406.68,154.09,8637.97,653.56,13.22
Agri Business,LT Foods Limited,LTFOODS.NS,14897.15,1261.04,142.63,16015.56,901.62,17.76
Agri Business,Avanti Feeds Limited,AVANTIFEED.NS,18786.91,15.14,26.13,18775.92,738.94,25.41
Agri Business,Godrej Agrovet Limited,GODREJAGRO.NS,11539.74,1395.98,36.68,12899.04,685.8,18.81
Agri Business,Coromandel International,COROMANDEL.NS,58790.41,780.38,254.75,59316.04,2979.32,19.91
Paperboards Paper Pack.,JK Paper Limited,JKPAPER.NS,6529.29,1885.14,28.14,8386.29,689.17,12.17
Paperboards Paper Pack.,Tamilnadu Newsprint & Paper,,,0.0,0.0,,,
Paperboards Paper Pack.,Century Plyboards (I) Ltd,CENTURYPLY.NS,17773.84,1586.3,20.17,19339.97,344.26,56.18
Paperboards Paper Pack.,Emami Paper Mills Limited,EMAMIPAP.NS,477.94,769.7,0.1,1247.54,88.99,14.02
Others / Infotech,Mphasis,MPHASIS.NS,43410.88,1888.22,986.34,44312.76,2425.64,18.27
Others / Infotech,Coforge,COFORGE.NS,40204.68,1070.4,795.6,40479.48,1425.4,28.4
Others / Infotech,Birlasoft,BSOFT.NS,10313.04,151.0,327.08,10136.96,720.27,14.07
Others / Infotech,KPIT Technologies,KPITTECH.NS,20711.05,344.87,1068.71,19987.21,1174.94,17.01
