Segment,Company,Ticker
FMCG Cigarettes,VST Industries Ltd,VSTIND.NS
FMCG Cigarettes,Godfrey Phillips India Ltd,GODFRYPHP.NS
FMCG Others,Hindustan Unilever Ltd,HINDUNILVR.NS
FMCG Others,Dabur India Ltd,DABUR.NS
FMCG Others,Marico Limited,MARICO.NS
FMCG Others,Godrej Consumer Products,GODREJCP.NS
FMCG Others,Britannia Industries Ltd,BRITANNIA.NS
Agri Business,KRBL Limited,KRBL.NS
Agri Business,LT Foods Limited,LTFOODS.NS
Agri Business,Avanti Feeds Limited,AVANTIFEED.NS
Agri Business,Godrej Agrovet Limited,GODREJAGRO.NS
Agri Business,Coromandel International,COROMANDEL.NS
Paperboards Paper Pack.,JK Paper Limited,JKPAPER.NS
Paperboards Paper Pack.,Tamilnadu Newsprint & Paper,TNPL.NS
Paperboards Paper Pack.,Century Plyboards (I) Ltd,CENTURYPLY.NS
Paperboards Paper Pack.,Emami Paper Mills Limited,EMAMIPAP.NS
Others / Infotech,Mphasis,MPHASIS.NS
Others / Infotech,Coforge,COFORGE.NS
Others / Infotech,Birlasoft,BSOFT.NS
Others / Infotech,KPIT Technologies,KPITTECH.NS
