Segment,Company,Ticker,Market Cap (Cr),Debt (Cr),Cash (Cr),EBIT (Cr)
FMCG Cigarettes,VST Industries Ltd,VSTIND.NS,4387.62,,23.69,348.74
FMCG Cigarettes,Godfrey Phillips India Ltd,GODFRYPHLP.BO,35251.88,177.49,14.25,1483.36
FMCG Others,Hindustan Unilever Ltd,HINDUNILVR.NS,529597.88,1648.0,6071.0,14810.0
FMCG Others,Dabur India Ltd,DABUR.NS,78565.61,950.08,184.17,2404.78
FMCG Others,Marico Limited,MARICO.NS,100568.17,554.0,320.0,2151.0
FMCG Others,Godrej Consumer Products,GODREJCP.NS,109476.94,4004.49,454.92,2983.0
FMCG Others,Britannia Industries Ltd,BRITANNIA.NS,137993.44,1264.14,132.78,3062.77
Agri Business,KRBL Limited,KRBL.NS,8385.38,406.68,154.09,653.56
Agri Business,LT Foods Limited,LTFOODS.NS,14897.15,1261.04,142.63,901.62
Agri Business,Avanti Feeds Limited,AVANTIFEED.NS,18786.91,15.14,26.13,738.94
Agri Business,Godrej Agrovet Limited,GODREJAGRO.NS,11539.74,1395.98,36.68,685.8
Agri Business,Coromandel International,COROMANDEL.NS,58790.41,780.38,254.75,2979.32
Paperboards Paper Pack.,JK Paper Limited,JKPAPER.NS,6529.29,1885.14,28.14,689.17
Paperboards Paper Pack.,Tamilnadu Newsprint & Paper,,,,,
Paperboards Paper Pack.,Century Plyboards (I) Ltd,CENTURYPLY.NS,17773.84,1586.3,20.17,344.26
Paperboards Paper Pack.,Emami Paper Mills Limited,EMAMIPAP.NS,477.94,769.7,0.1,88.99
Others / Infotech,Mphasis,MPHASIS.NS,43410.88,1888.22,986.34,2425.64
Others / Infotech,Coforge,COFORGE.NS,40204.68,1070.4,795.6,1425.4
Others / Infotech,Birlasoft,BSOFT.NS,10313.04,151.0,327.08,720.27
Others / Infotech,KPIT Technologies,KPITTECH.NS,20711.05,344.87,1068.71,1174.94
